Date,Site,Light_Surface (umol),Light_Depth (umol),Dive No.,Transect No.,Quad No.,Depth nc (m),Original Det.,Sample#,% coverage,%_corrected,comments,PTM#,Code,Actual % cover,Species name (Provisional name)
July-07-2014,1,1292.9,34.24,3,2,1,13.3,Bossiella schmittii,1,7,7,,"1,058",quad 1-sample 1; on rock/bryozoan,0.07,Bossiella schmittii
July-07-2014,1,1292.9,34.24,3,2,1,13.3,Coralline crust,2,15,15,,"1,059",quad 1-sample 2; on bryozoan,0.15,Crusticorallina muricata
July-07-2014,1,1292.9,34.24,3,2,1,13.3,Coralline crust,3,5,5,same as 2?,"1,060",quad 1-sample 3; on bryozoan,0.05,Crusticorallina muricata
July-07-2014,1,1292.9,34.24,3,2,1,13.3,Coralline crust,4,4,4,same as 2?,"1,061",quad 1-sample 4; on shell material,0.04,Crusticorallina paineii
July-07-2014,1,1292.9,34.24,3,2,1,13.3,Coralline crust,5,2,2,,"1,062",quad 1-sample 5;very dirty; on bryozoan colony,0.02,Mesophyllum vancouveriense
July-07-2014,1,1292.9,34.24,3,2,2,13.2,Coralline crust,1,5,13.88888889,,"1,065",quad 2-sample 1a; on bryozoan; voucher in bag,0.138888889,Mesophyllum vancouveriense
July-07-2014,1,1292.9,34.24,3,2,2,13.2,Coralline crust,2,trace,0.5,,"1,066",quad 2-sample 1b; on bryozoan; voucher in bag,0.005,Mesophyllum vancouveriense
July-07-2014,1,1292.9,34.24,3,2,2,13.2,Coralline crust,3,4,11.11111111,,"1,067",quad 2-sample 2; on bryozoan,0.111111111,Mesophyllum vancouveriense
July-07-2014,1,1292.9,34.24,3,2,3,13.7,Coralline crust,1,4,16.66666667,,"1,069",quad 3-sample 1; on rock,0.166666667,Crusticorallina adhaerens
July-07-2014,1,1292.9,34.24,3,2,3,13.7,Coralline crust,2,trace,0.5,,"1,070",quad 3-sample 2; on rock,0.005,Crusticorallina paineii
July-07-2014,1,1292.9,34.24,3,2,3,13.7,Bossiella sp.,3,?,0.5,same as 2?,"1,071",quad 3-sample 3a; on rock,0.005,Bossiella reptans
July-07-2014,1,1292.9,34.24,3,2,3,13.7,Coralline crust,4,2,8.333333333,no DNA b/c on tunicate,"1,072",quad 3-sample 3b; on bryozoan; need DNA; voucher in bag,0.083333333,Chiharaea americana
July-07-2014,1,1292.9,34.24,3,2,3,13.7,Coralline crust,5,trace,0.5,,"1,073",quad 3-sample 5; on rock; no voucher,0.005,Chiharaea americana
July-07-2014,1,1292.9,34.24,4,2,4,13,Bossiella sp.,1,trace,0.5,,"1,074",quad 4-sample 1; on rock,0.005,Bossiella reptans
July-07-2014,1,1292.9,34.24,4,2,4,13,Coralline crust,2,1,1.4,,"1,075",quad 4-sample 2; dirty; on rock,0.014,Crusticorallina adhaerens
July-07-2014,1,1292.9,34.24,4,2,4,13,Coralline crust,3,2,2.8,,"1,076",quad 4-sample 3; on rock,0.028,Chiharaea americana
July-07-2014,1,1292.9,34.24,4,2,4,13,Coralline crust,4,2,2.8,,"1,077",quad 4-sample 4; on rock,0.028,Lithothamnion glaciale
July-07-2014,1,1292.9,34.24,4,2,5,12.8,Chiharaea americana,1,15,15,,"1,078",quad 5-sample 1; voucher on rock,0.15,Chiharaea americana
July-07-2014,1,1292.9,34.24,4,2,5,12.8,Coralline crust,2,10,10,,"1,079",quad 5-sample 2,0.1,Lithophyllum sp.2 (Corallinac sp.4BCcrust) 
July-07-2014,1,1292.9,34.24,4,2,5,12.8,Coralline crust,3,1,1,,"1,080",quad 5-sample 3,0.01,Crusticorallina adhaerens
