Current or provisional name,Name used in publication,Collected as,Collection Number (PTM),UBC Accession #,Genbank Number,Collection Date,Habitat,Site #,Notes
Crusticorallina adhaerens,Crusticorallina adhaerens,Coralline crust,1032,A92009,TBA,"July 6, 2014","subtidal, 12.5m",3,quad 1-sample 1
Crusticorallina adhaerens,Crusticorallina adhaerens,Coralline crust,1033,A92010,TBA,"July 6, 2014","subtidal, 12.5m",3,quad 1-sample 2a; on barnacle; voucher in bag
Crusticorallina adhaerens,Crusticorallina adhaerens,Coralline crust,1034,A92011,TBA,"July 6, 2014","subtidal, 12.5m",3,quad 1-sample 2b; on cap corral; voucher in bag
Crusticorallina adhaerens,Crusticorallina adhaerens,Coralline crust,1035,A92012,TBA,"July 6, 2014","subtidal, 12.5m",3,quad 1-sample 3; on rock
Crusticorallina adhaerens,Crusticorallina adhaerens,Coralline crust,1036,A92013,TBA,"July 6, 2014","subtidal, 13.5m",3,quad 2-sample 1a; on rock
Crusticorallina adhaerens,Crusticorallina adhaerens,Coralline crust,1037,no voucher,TBA,"July 6, 2014","subtidal, 13.5m",3,quad 2-sample 1b; on barnacle; no voucher 
Bossiella exarticulata,Bossiella exarticulata,Coralline crust,1038,A91401,TBA,"July 6, 2014","subtidal, 13.5m",3,quad 2-sample 2; on cap corral; voucher in bag
Corsp.27BCcrust,Lithophyllum sp.3,Coralline crust,1039,A92014,TBA,"July 6, 2014","subtidal, 13.5m",3,quad 2-sample 3; on rock
Mesophyllum sp.2 ,Mesophyllum sp.1,Coralline crust,1040,A92015,TBA,"July 6, 2014","subtidal, 13.5m",3,quad 2-sample 4; single shell; voucher in bag
Corsp13BCcrust,Mesophyllum sp.2 ,Coralline crust,1042,A92017,TBA,"July 6, 2014","subtidal, 13.2m",3,quad 3-sample 1; single shell; voucher in bag
Crusticorallina adhaerens,Crusticorallina adhaerens,Coralline crust,1043,A92018,TBA,"July 6, 2014","subtidal, 13.2m",3,quad 3-sample 2; on rock; voucher in bag
Chiharaea americana,Chiharaea americana,Chiharaea americana,1044,A92019,TBA,"July 6, 2014","subtidal, 13.2m",3,quad 3-sample 3; on rock
Chiharaea americana,Chiharaea americana,Chiharaea americana,1045,A92020,TBA,"July 6, 2014","subtidal, 13.2m",3,quad 3-sample 4; on rock
Chiharaea americana,Chiharaea americana,Chiharaea americana,1046,A92021,TBA,"July 6, 2014","subtidal, 10.1m",3,quad 4-sample 1; on rock
Lithophyllum sp.4,Lithophyllum sp.4,Coralline crust,1047,no voucher,TBA,"July 6, 2014","subtidal, 10.1m",3,quad 4-sample 2; on rock; no voucher
Corsp.27BCcrust,Lithophyllum sp.3,Coralline crust,1048,A92022,TBA,"July 6, 2014","subtidal, 10.1m",3,quad 4-sample 3; on rock; voucher
Bossiella exarticulata,Bossiella exarticulata,Coralline crust,1049,A91402,TBA,"July 6, 2014","subtidal, 10.1m",3,quad 4-sample 4; on rock; dirty
Crusticorallina adhaerens,Crusticorallina adhaerens,Coralline crust,1050,A91403,TBA,"July 6, 2014","subtidal, 10.2m",3,quad 5-sample 1; on rock
Corsp.27BCcrust,Lithophyllum sp.3,Coralline crust,1051,no voucher,TBA,"July 6, 2014","subtidal, 10.2 m",3,quad 5-sample 2; on rock; no voucher; very small sample
Corsp.27BCcrust,Lithophyllum sp.3,Coralline crust,1052,no voucher,TBA,"July 6, 2014","subtidal, 10.2m",3,quad 5-sample 3; on rock; no voucher
Chiharaea americana,Chiharaea americana,Coralline crust,1053,A92024,TBA,"July 6, 2014",subtidal 10.2m,3,quad 5-sample 4; on rock
Chiharaea americana,Chiharaea americana,Coralline crust,1054,A92025,TBA,"July 6, 2014","subtidal, 10.1 m",3,quad 6-sample 1; on rock
Crusticorallina adhaerens,Crusticorallina adhaerens,Coralline crust,1055,A92026,TBA,"July 6, 2014","subtidal, 10.1 m",3,quad 6-sample 2; on cup coral
Crusticorallina muricata,Crusticorallina muricata,Coralline crust,1056,A91404,TBA,"July 6, 2014","subtidal, 10.1 m",3,quad 6-sample 3; on rock
Corsp.27BCcrust,Lithophyllum sp.3,Coralline crust,1057,A92027,TBA,"July 6, 2014","subtidal, 10.1 m",3,quad 6-sample 4; on rock; voucher in bag
Bossiella schmittii,Bossiella schmittii,Bossiella schmittii,1058,A92028,TBA,"July 7, 2014","subtidal, 13.3m",1,quad 1-sample 1; on rock/bryozoan
Crusticorallina muricata,Crusticorallina muricata,Coralline crust ,1059,A91405,TBA,"July 7, 2014","subtidal, 13.3m",1,quad 1-sample 2; on bryozoan
Crusticorallina muricata,Crusticorallina muricata,Coralline crust,1060,A91406,TBA,"July 7, 2014","subtidal, 13.3m",1,quad 1-sample 3; on bryozoan
Crusticorallina painei,Crusticorallina painei,Coralline crust,1061,A92029,TBA,"July 7, 2014","subtidal, 13.3m",1,quad 1-sample 4; on shell material
Mesophyllum vancouveriense,Mesophyllum vancouveriense,Coralline crust,1062,A92030,TBA,"July 7, 2014","subtidal, 13.3m",1,quad 1-sample 5;very dirty; on bryozoan colony
Mesophyllum vancouveriense,Mesophyllum vancouveriense,Coralline crust,1063,A92031,TBA,"July 7, 2014",subtidal 13.8 m,1,"on bryozoan (not in quad); shelf-like; voucher in bag"
Mesophyllum vancouveriense,Mesophyllum vancouveriense,Coralline crust,1064,A92032,TBA,"July 7, 2014",subtidal 13.8 m,1,"on bryozoan (not in quad); shelf-like; voucher in bag"
Mesophyllum vancouveriense,Mesophyllum vancouveriense,Coralline crust,1065,A92033,TBA,"July 7, 2014","subtidal, 13.2m",1,quad 2-sample 1a; on bryozoan; voucher in bag
Mesophyllum vancouveriense,Mesophyllum vancouveriense,Coralline crust,1066,A92034,TBA,"July 7, 2014","subtidal, 13.2m",1,quad 2-sample 1b; on bryozoan; voucher in bag
Mesophyllum vancouveriense,Mesophyllum vancouveriense,Coralline crust,1067,A92035,TBA,"July 7, 2014","subtidal, 13.2m",1,quad 2-sample 2; on bryozoan
Mesophyllum vancouveriense,Mesophyllum vancouveriense,Coralline crust,1068,A92036,TBA,"July 7, 2014","subtidal, 13.2m",1,quad 2-sample 3; on kelp stipe
Crusticorallina adhaerens,Crusticorallina adhaerens,Coralline crust,1069,A92037,TBA,"July 7, 2014","subtidal, 13.7 m",1,quad 3-sample 1; on rock
Crusticorallina painei,Crusticorallina painei,Coralline crust,1070,A91407,TBA,"July 7, 2014","subtidal, 13.7 m",1,quad 3-sample 2; on rock
Bossiella reptans,Bossiella reptans,Bossiella sp.,1071,A92038,TBA,"July 7, 2014","subtidal, 13.7 m",1,quad 3-sample 3a; on rock
Chiharaea americana,Chiharaea americana,Coralline crust,1072,A92039,TBA,"July 7, 2014","subtidal, 13.7 m",1,quad 3-sample 3b; on bryozoan; need DNA; voucher in bag
Chiharaea americana,Chiharaea americana,Coralline crust,1073,no voucher,TBA,"July 7, 2014","subtidal, 13.7 m",1,quad 3-sample 5; on rock; no voucher
Bossiella reptans,Bossiella reptans,Bossiella sp. ,1074,A92040,TBA,"July 7, 2014",subtidal 13.0m,1,quad 4-sample 1; on rock
Crusticorallina adhaerens,Crusticorallina adhaerens,Coralline crust,1075,A92041,TBA,"July 7, 2014",subtidal 13.0m,1,quad 4-sample 2; dirty; on rock
Chiharaea americana,Chiharaea americana,Coralline crust,1076,A92042,TBA,"July 7, 2014",subtidal 13.0m,1,quad 4-sample 3; on rock
Lithothamnion glaciale,Lithothamnion glaciale,Coralline crust,1077,A92043,TBA,"July 7, 2014","subtidal, 13.0m",1,quad 4-sample 4; on rock
Chiharaea americana,Chiharaea americana,Chiharaea americana,1078,A92044,TBA,"July 7, 2014","subtidal, 12.8m",1,quad 5-sample 1; voucher on rock
Corillinac sp.4BCcrust,Lithophyllum sp.2,Coralline crust ,1079,A92045,TBA,"July 7, 2014","subtidal, 12.8m",1,quad 5-sample 2
Crusticorallina adhaerens,Crusticorallina adhaerens,Coralline crust,1080,A91408,TBA,"July 7, 2014","subtidal, 12.8m",1,quad 5-sample 3
Crusticorallina adhaerens,Crusticorallina adhaerens,Coralline crust,1081,A91409,TBA,"July 7, 2014","subtidal, 12.8m, on limpet",1,quad 5-sample 4; needs DNA; voucher in bag
Lithothamnion glaciale,Lithothamnion glaciale,Lithothamnion phymatodeum ,1082,A92046,TBA,"July 7, 2014","subtidal, 12.8m",1,"quad 5-sample 5"
Lithothamnion glaciale,Lithothamnion glaciale,Coralline crust,1083,A92047,TBA,"July 7, 2014",subtidal 12.9m,1,quad 6-sample 1
