"","Current or provisional name","Name used in publication","Collected as","Collection Number (PTM)","UBC Accession #","Genbank Number","Collection Date","Habitat","Site #","Notes","PSBA.Accession","COI.5P.Accession","rbcL.Accession"
"1","Crusticorallina adhaerens","Crusticorallina adhaerens","Coralline crust",1032,"A92009","  MK567536","July 6, 2014","subtidal, 12.5m",3,"quad 1-sample 1","","","MK567536"
"2","Crusticorallina adhaerens","Crusticorallina adhaerens","Coralline crust",1033,"A92010","MK567552  ","July 6, 2014","subtidal, 12.5m",3,"quad 1-sample 2a; on barnacle; voucher in bag","MK567552","",""
"3","Crusticorallina adhaerens","Crusticorallina adhaerens","Coralline crust",1034,"A92011"," MK590041 ","July 6, 2014","subtidal, 12.5m",3,"quad 1-sample 2b; on cap corral; voucher in bag","","MK590041",""
"4","Crusticorallina adhaerens","Crusticorallina adhaerens","Coralline crust",1035,"A92012","  MK567539","July 6, 2014","subtidal, 12.5m",3,"quad 1-sample 3; on rock","","","MK567539"
"5","Crusticorallina adhaerens","Crusticorallina adhaerens","Coralline crust",1036,"A92013"," MK590040 ","July 6, 2014","subtidal, 13.5m",3,"quad 2-sample 1a; on rock","","MK590040",""
"6","Crusticorallina adhaerens","Crusticorallina adhaerens","Coralline crust",1037,"no voucher","MK567558  ","July 6, 2014","subtidal, 13.5m",3,"quad 2-sample 1b; on barnacle; no voucher","MK567558","",""
"7","Bossiella exarticulata","Bossiella exarticulata","Coralline crust",1038,"A91401","MK567560  ","July 6, 2014","subtidal, 13.5m",3,"quad 2-sample 2; on cap corral; voucher in bag","MK567560","",""
"8","Corsp.27BCcrust","Lithophyllum sp.3","Coralline crust",1039,"A92014","MK567575  ","July 6, 2014","subtidal, 13.5m",3,"quad 2-sample 3; on rock","MK567575","",""
"9","Mesophyllum sp.2","Mesophyllum sp.1","Coralline crust",1040,"A92015","MK567589  ","July 6, 2014","subtidal, 13.5m",3,"quad 2-sample 4; single shell; voucher in bag","MK567589","",""
"10","Corsp13BCcrust","Mesophyllum sp.2","Coralline crust",1042,"A92017","MK567612  ","July 6, 2014","subtidal, 13.2m",3,"quad 3-sample 1; single shell; voucher in bag","MK567612","",""
"11","Crusticorallina adhaerens","Crusticorallina adhaerens","Coralline crust",1043,"A92018","  MK567537","July 6, 2014","subtidal, 13.2m",3,"quad 3-sample 2; on rock; voucher in bag","","","MK567537"
"12","Chiharaea americana","Chiharaea americana","Chiharaea americana",1044,"A92019","MK567542  ","July 6, 2014","subtidal, 13.2m",3,"quad 3-sample 3; on rock","MK567542","",""
"13","Chiharaea americana","Chiharaea americana","Chiharaea americana",1045,"A92020","MK567561  ","July 6, 2014","subtidal, 13.2m",3,"quad 3-sample 4; on rock","MK567561","",""
"14","Chiharaea americana","Chiharaea americana","Chiharaea americana",1046,"A92021","MK567611  ","July 6, 2014","subtidal, 10.1m",3,"quad 4-sample 1; on rock","MK567611","",""
