PTM#,Final determination,genetic match/notes,Determination in the field,Vial in Martone Lab?,Extracted?,Date of Extraction,PCR date (psbA),psbA sequence?,PCR date (CO1),CO1 sequence?,PCR date (rbcL),RbcL sequence?,SSU sequence?,Red/Coralline/Green/Brown,Locality,Date Collected,Notes,Accession #,Missing accession,Habitat,Fragments available?,Latitude,Longitude,Main Collector,Other collectors,Determiners
1,Corallina officinalis var. chilensis,NA,Corallina officinalis,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",15-Mar-2007,NA,A88572,NA,"Epilithic, low intertidal, above ""Coralline Bench"" on vertical wall",NA,NA,NA,NA,NA,NA
2,Bossiella plumosa,no more DNA,Bossiella plumosa,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",15-Mar-2007,NA,A88573,NA,"Epilithic, mid intertidal, ""Coralline bench""",NA,NA,NA,NA,NA,NA
3,Calliarthron cheilosporioides,NA,Calliarthron cheilosporioides,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",15-Mar-2007,NA,A87283,NA,"Epilithic, very low intertidal, ""Coralline Bench""",NA,NA,NA,NA,NA,NA
4,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",15-Mar-2007,NA,A87284,NA,"Epilithic, low intertidal, ""Coralline Bench"", adjacent to C. cheilosporioides",NA,NA,NA,NA,NA,NA
5,Corallina vancouveriensis,NA,Corallina vancouveriensis,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",15-Mar-2007,NA,A88574,NA,"Epilithic, mid-intertidal",NA,NA,NA,NA,NA,NA
6,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",15-Mar-2007,NA,A87285,NA,"Epilithic, mid-intertidal tidepool with 4 dynamometers",NA,NA,NA,NA,NA,NA
7,Calliarthron cheilosporioides,NA,Calliarthron cheilosporioides,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",15-Mar-2007,NA,A87286,NA,"Epilithic, mid-intertidal tidepool with 4 dynamometers",NA,NA,NA,NA,NA,NA
8,Lithothrix aspergillum,NA,Lithothrix aspergillum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Treasure Cove, Laguna Beach, CA",27-Aug-2007,NA,A88575,NA,"Epilithic, collected by snorkle",NA,NA,NA,NA,NA,NA
9,Bossiella dichotoma,NA,Bossiella dichotoma,NA,yes,3x07 (PG),NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Crystal Cove, Laguna Beach, CA",28-Aug-2007,NA,A88576,NA,"Epilithic, +1.0 feet in tidepools",NA,NA,NA,NA,NA,NA
10,Corallina officinalis var. chilensis,NA,Corallina officinalis,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Crystal  Cove, Laguna Beach, CA",28-Aug-2007,NA,A88577,NA,Collected from drift,NA,NA,NA,NA,NA,NA
11,Corallina officinalis var. chilensis,NA,Corallina officinalis,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Crystal  Cove, Laguna Beach, CA",28-Aug-2007,NA,A88578,NA,Collected from drift,NA,NA,NA,NA,NA,NA
12,Corallina vancouveriensis,NA,Corallina vancouveriensis,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Crystal  Cove, Laguna Beach, CA",28-Aug-2007,"Patrick had ""californiensis"" label on this specimen",A88579,NA,Collected from drift,NA,NA,NA,NA,NA,NA
13,no match for COI,psbA failed,Haliptilon gracile,NA,yes,4/9/2013,14i14 (failed),NA,4/11/2013,yes- forward only (short and weak signal),NA,NA,NA,Coralline,"Crystal  Cove, Laguna Beach, CA",28-Aug-2007,NA,A88580,NA,Collected from drift,NA,NA,NA,NA,NA,NA
14,Not A. zonata; A beauvoisii?,messy sequence. gave up,Amphiroa zonata,NA,yes- 2 50 ul elutions,4/10/2013,14i14,NA,NA,NA,NA,x (PG),NA,Coralline,"Treasure Cove, Laguna Beach, CA",28-Aug-2007,NA,A88581,NA,"Epilithic, -2.0 ft collected by snorkel",NA,NA,NA,NA,NA,NA
15,Bossiella dichotoma,NA,Bossiella orbigniana,NA,yes,1x07 (PG),NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Crystal  Cove, Laguna Beach, CA",28-Aug-2007,NA,A88582,NA,Collected from drift,NA,NA,NA,NA,NA,NA
18,NA,psbA failed,Melobesia mediocris,NA,yes- 2 50 ul elutions,4/10/2013,14i14,NA,NA,NA,NA,NA,NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",2007 Sept 26,2 DNA samples (one from Paul),A88583,NA,"On Phyllospadix, in low intertidal, down from HMS water towers",NA,NA,NA,NA,NA,NA
19,Callilithophytum parcum,NA,Clathromorphum parcum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",2007 Sept 26,NA,A88584,NA,"On Calliarthron,low intertidal",NA,NA,NA,NA,NA,NA
20,Bossiella dichotoma,NA,Bossiella gardneri (?),NA,yes,24x07 (PG),NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",2007 Sept 26,NA,A88585,NA,"Epilithic, low intertidal",NA,NA,NA,NA,NA,NA
21,Bossiella dichotoma,NA,Bossiella dichotoma (?),NA,yes,24x07 (PG),NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",26.ix.2007,NA,A88586,NA,"epilithic, low intertidal",NA,NA,NA,NA,NA,NA
24,NA,Bossiella Californica? needs forward sequence,Bossiella corymbifera,NA,yes,24/4/2013,14i14,NA,NA,NA,NA,NA,NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",2007 Sept 26,NA,A88587,NA,"Epilithic, low intertidal, one headland East of Pt. Pinos",NA,NA,NA,NA,NA,NA
25,Bossiella californica,NA,Bossiella corymbifera,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",1.xii.2007,NA,A88588,NA,"drift, Agassiz Beach",NA,NA,NA,NA,NA,NA
26,"no amp, no material remaining",NA,Melobesia marginata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",4-Dec-2007,NA,A88589,NA,On Gymnogongrus collected in drift on Agassiz Beach,NA,NA,NA,NA,NA,NA
27,Corallina pinnatifolia,"psbA failed; NEED RESEARCH ANNOTATION, PWG has sequence",Corallina pinnatifolia,NA,yes- no band on genomic gel,24/4/2013,14i14,NA,NA,NA,NA,NA,NA,Coralline,"Corona del Mar, Laguna Beach, CA",10.x.2007,NA,A88590,NA,"Epilithic, growing in tidepool",NA,NA,NA,NA,NA,NA
28,Calliarthron cheilosporioides,NA,Calliarthron sp.,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",8.i.2008,NA,A87287,NA,epilithic low intertidal,NA,NA,NA,NA,NA,NA
29,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",8-Jan-2008,NA,A87288,NA,"Upper low intertidal, above C. cheilosporioides, forming low dense monospecific clusters",NA,NA,NA,NA,NA,NA
30,NA,did not attempt because we have enough C. cheilosporioides sequences,Calliarthron cheilosporioides,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,A87289,NA,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",NA,NA,NA,NA,NA,NA
31,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,A87290,NA,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",NA,NA,NA,NA,NA,NA
32,Calliarthron cheilosporioides,NA,Calliarthron cheilosporioides,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,A87291,NA,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",NA,NA,NA,NA,NA,NA
33,Bossiella dichotoma,NA,Bossiella gardneri,NA,yes,23ii08 (PG),NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,A88591,NA,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",NA,NA,NA,NA,NA,NA
34,NA,psbA failed,Bossiella gardneri,NA,yes- 2 50 ul elutions,NA,14i14,X (July 2014 CJ),NA,NA,NA,NA,NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,A88592,NA,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",NA,NA,NA,NA,NA,NA
35,Bossiella dichotoma,NA,Bossiella gardneri,NA,yes,25ii08 (PG),NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,A88593,NA,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",NA,NA,NA,NA,NA,NA
36,Bossiella plumosa,NA,Bossiella plumosa,NA,yes,24/4/2013,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,A88594,NA,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",NA,NA,NA,NA,NA,NA
