PTM#,Final determination,genetic match/notes,Determination in the field,Vial in Martone Lab?,Extracted?,Date of Extraction,PCR date (psbA),psbA sequence?,PCR date (CO1),CO1 sequence?,PCR date (rbcL),RbcL sequence?,SSU sequence?,Red/Coralline/Green/Brown,Locality,Date Collected,Notes,Accession #,Missing accession,Habitat,Fragments available?,Latitude,Longitude,Main Collector,Other collectors,Determiners
1304,NA,moderate seq no match,NA,yes,x (JN),8/8/2015,NA,NA,"8/19/2015, faint",NA,NA,NA,NA,Coralline,"Huar Huar, Chile",NA,"Chile #D3; on stranded Durvillaea; genetic sample was dirty, branches dull pink/gray;PCR failed full strength, faint band after 1:10 dilution; no voucher, ziploc fragments",no voucher,NA,drift,Yes,-41.33364,-73.83118,M. Thiel,NA,NA
1305,NA,85% pseudolithophyllum sp.16muricatum on BLAST - mod seq,NA,yes,x (JN),8/8/2015,NA,NA,8/19/2015,NA,NA,NA,NA,Coralline,"Huar Huar, Chile",NA,"Chile #D4; on stranded Durvillaea, branches dull pink & white; PCR worked after 1:10 dilution; no voucher, ziploc fragments",no voucher,NA,drift,Yes,-41.33364,-73.83118,M. Thiel,NA,NA
1306,NA,NA,NA,yes,x (JN),8/8/2015,NA,NA,"8/19/2015, faint",NA,NA,NA,NA,Coralline,"Huar Huar, Chile",NA,"Chile #9; on stranded Durvillaea; dirty sample; PCR failed full strength, faint band after 1:10 dilution; no voucher, ziploc fragments",no voucher,NA,drift,Yes,-41.33364,-73.83118,M. Thiel,NA,NA
1307,NA,messy seq,NA,yes,x (JN),8/8/2015,NA,NA,"8/19/2015, faint",NA,NA,NA,NA,Coralline,"Huar Huar, Chile",NA,"Chile #D10; on stranded Durvillaea, dirty; faint band in PCR full strength & 1:10 dilution; no voucher, ziploc fragments",no voucher,NA,drift,Yes,-41.33364,-73.83118,M. Thiel,NA,NA
1308,NA,messy seq,NA,yes,x (JN),8/8/2015,NA,NA,8/18/2015,NA,NA,NA,NA,Coralline,"Huar Huar, Chile",NA,"Chile #D12; on stranded Durvillaea; branches very gray, some white; no voucher, ziploc fragments",no voucher,NA,drift,Yes,-41.33364,-73.83118,M. Thiel,NA,NA
1309,NA,Haliptilon squamatum 86% BLAST - mod seq,NA,yes,x (JN),8/8/2015,NA,NA,8/18/2015,NA,NA,NA,NA,Coralline,"Huar Huar, Chile",NA,"Chile #D15; on stranded Durvillaea; no voucher, ziploc fragments",no voucher,NA,drift,Yes,-41.33364,-73.83118,M. Thiel,NA,NA
1310,NA,85% Pseudolithophyllum sp.16muricatum BLAST- mod seq,NA,yes,x (JN),8/8/2015,NA,NA,8/18/2015,NA,NA,NA,NA,Coralline,"Huar Huar, Chile",NA,"Chile #D17; on stranded Durvillaea; no voucher; no sample in vial (01/12/2015), nothing",no voucher,NA,drift,No,-41.33364,-73.83118,M. Thiel,NA,NA
1311,NA,messy seq,NA,yes,x (JN),8/8/2015,NA,NA,8/19/2015,NA,NA,NA,NA,Coralline,"Carelmapu, Chile",NA,Chile #D1; on stranded Durvillaea; PCR worked after 1:10 dilution; no voucher; ziploc fragments,no voucher,NA,drift,Yes,-41.74308,-73.7426,M. Thiel,NA,NA
1312,NA,95% match Corallina caespitosa BLAST,NA,yes,x (JN),8/8/2015,NA,NA,8/19/2015,NA,NA,NA,NA,Coralline,"Carelmapu, Chile",NA,"Chile #D2; on stranded Durvillaea, PCR worked after 1:10 dilution; no voucher, ziploc, ground sample aswell",no voucher,NA,drift,Yes,-41.74308,-73.7426,M. Thiel,NA,NA
1313,NA,messy M13F seq,NA,yes,x (JN),8/8/2015,NA,NA,8/18/2015,NA,NA,NA,NA,Coralline,"Carelmapu, Chile",NA,"Chile #D5; on stranded Durvillaea; no voucher, ziploc fragments",no voucher,NA,drift,Yes,-41.74308,-73.7426,M. Thiel,NA,NA
1314,NA,messy M13F seq,NA,yes,x (JN),8/8/2015,NA,NA,8/7/2015,NA,NA,NA,NA,Coralline,"Carelmapu, Chile",NA,"Chile #D6; on stranded Durvillaea; no voucher, ziploc fragments, ground sample as well",no voucher,NA,drift,Yes,-41.74308,-73.7426,M. Thiel,NA,NA
1316,NA,messy M13F seq,NA,yes,x (JN),8/11/2015,NA,NA,8/18/2015,NA,NA,NA,NA,Coralline,"Carelmapu, Chile",NA,"Chile #D8; stranded Durvillaea; no voucher, ziploc fragments",no voucher,NA,drift,Yes,-41.74308,-73.7426,M. Thiel,NA,NA
1317,NA,messy M13F seq,NA,yes,x (JN),8/11/2015,NA,NA,8/19/2015,NA,NA,NA,NA,Coralline,"Carelmapu, Chile",NA,"Chile #D9; on stranded Durvillaea, PCR worked after 1:10 dilution; no voucher; additional ground sample in vial, ziploc fragments",no voucher,NA,drift,Yes,-41.74308,-73.7426,M. Thiel,NA,NA
1319,NA,messy M13F seq,NA,yes,x (JN),8/11/2015,NA,NA,8/18/2015,NA,NA,NA,NA,Coralline,"Carelmapu, Chile",NA,"Chile #D11; on stranded Durvillaea; no voucher, ziploc fragments",no voucher,NA,drift,Yes,-41.74308,-73.7426,M. Thiel,NA,NA
1320,NA,messy M13F seq,NA,yes,x (JN),8/11/2015,NA,NA,8/19/2015,NA,NA,NA,NA,Coralline,"Mar Brava, Chile",NA,"Chile #D1; on stranded Durvillaea, PCR worked after 1:10 dilution; no voucher, ziploc fragments",no voucher,NA,drift,Yes,-41.92769,-74.12043,M. Thiel,NA,NA
1321,NA,NA,NA,yes,x (JN),8/11/2015,NA,NA,"8/19/2015, negative",NA,NA,NA,NA,Coralline,"Mar Brava, Chile",NA,"Chile #D11; on stranded Durvillaea, ground material very dirty; PCR failed full strength & 1:10 dilution; no voucher, ziploc fragments",no voucher,NA,drift,Yes,-41.92769,-74.12043,M. Thiel,NA,NA
1322,NA,NA,NA,yes,x (JN),8/11/2015,NA,NA,"8/19/2015, negative",NA,NA,NA,NA,Coralline,"Mar Brava, Chile",NA,"Chile #D12; on stranded Durvillaea, PCR failed full strength & 1:10 dilution; no voucher, ziploc fragments",no voucher,NA,drift,Yes,-41.92769,-74.12043,M. Thiel,NA,NA
1323,NA,messy M13F seq,NA,yes,x (JN),8/11/2015,NA,NA,"8/19/2015, faint",NA,NA,NA,NA,Coralline,"Mar Brava, Chile",NA,"Chile #D14; on stranded Durvillaea, faint band in PCR full strength & 1:10 dilution; no voucher; additional ground sample in vial; ziplox fragments",no voucher,NA,drift,Yes,-41.92769,-74.12043,M. Thiel,NA,NA
1324,NA,NA,NA,yes,x (JN),8/11/2015,NA,NA,"8/19/2015, negative",NA,NA,NA,NA,Coralline,"Mar Brava, Chile",NA,"Chile #D17; on stranded Durvillaea, PCR failed full strength & 1:10 dilution; no voucher; additional ground sample in vial; ziploc fragments",no voucher,NA,drift,Yes,-41.92769,-74.12043,M. Thiel,NA,NA
1325,Corallina caespitosa,95% match on BLAST,NA,yes,x (JN),8/11/2015,NA,NA,8/18/2015,NA,NA,NA,NA,Coralline,"Cucao, Chile",NA,Chile #D7; on stranded Durvillaea; no voucher; ziploc fragments,no voucher,NA,drift,Yes,-42.66661,-74.12075,M. Thiel,NA,NA
1326,NA,messy M13F seq,NA,yes,x (JN),8/11/2015,NA,NA,8/19/2015,NA,NA,NA,NA,Coralline,"Cucao, Chile",NA,"Chile #D26; on stranded Durvillaea, PCR worked after 1:10 dilution; voucher - herbarium box; ziploc fragments",voucher - herbarium box,NA,drift,Yes,-42.66661,-74.12075,M. Thiel,NA,NA
1327,NA,NA,NA,yes,x (JN),8/11/2015,NA,NA,"8/19/2015, negative",NA,NA,NA,NA,Coralline,"Cucao, Chile",NA,"Chile #D34; on stranded Durvillaea, PCR failed full strength & 1:10 dilution; no voucher; ziploc fragments",no voucher,NA,drift,Yes,-42.66661,-74.12075,M. Thiel,NA,NA
1328,NA,messy M13F,NA,yes,x (JN),8/11/2015,NA,NA,8/18/2015,NA,NA,NA,NA,Coralline,"Quidico-yari, Chile",NA,"Chile #D2; on stranded Durvillaea; voucher - herbarium box, ziploc fragments",voucher - herbarium box,NA,drift,Yes,-37.43576,-73.6009,M. Thiel,NA,NA
1329,NA,NA,NA,yes,x (JN),8/11/2015,NA,NA,"8/19/2015, negative",NA,NA,NA,NA,Coralline,"Quidico-yari, Chile",NA,"Chile #D3; on stranded Durvillaea, PCR failed full strength & 1:10 dilution; no voucher; ziploc fragments",no voucher,NA,drift,Yes,-37.43576,-73.6009,M. Thiel,NA,NA
