Accession #,Research_note,,,,,,Family,collector_no,,Country,,Collected_Date,Depth,Det_Date,Determiner,,Notes,,,,,Genus,geo_locate,geo,geo_year,geo_source,geo_Lat_dd,geo_Lat_deg,geo_Lat_min,geo_Lat_sec,geo_Long_dd,geo_Long_deg,geo_Long_min,geo_Long_sec,coord_source,,Habitat,Insitution,,curation_notes,Locality,,,,Sci_name,other_collectors,Phylum,Collector,Project_id,state_province,,reproduction,research_annot,,species,authority,,,,type_status,,,,datum,Lat_deg,Lat_min,Lat_sec,Long_deg,Long_min,Long_sec
A23002,,,,,,,Florideophyceae,10342,Yes,United States,,1965 Jun 29,,,J.L. Celestino,,,,,,,Arthrocardia,Crystal Kwong,590,2018,Unknown,58.61,58,36.5,,-137.66,-137,39.5,,Verbatim from Collector/Sheet,,,UBC,,,"Harbor point, lituya bay",,,,,"R. Driskill, L.D. Druehl, J.W. Markham",Rhodophyta,J. Green,,Alaska,,,Sub-sampled for phylogenetics of Chiharaea and Yamadaia by Patrick T. Martone Research Annotation University of British Columbia 2010 November 08,,silvae,Johansen,,,,,,,,,58,36.5,,-137,39.5,
A27258,,,,,,,Florideophyceae,14076,Yes,United States,,1966 Jul 18,,,J.L. Celestino,,,,,,,Arthrocardia,Crystal Kwong,6699,2018,Unknown,53.98,53,58.8,,-166.9,-166,52,,Verbatim from Collector/Sheet,,,UBC,,,"Driftwood bay, unalaska island",,,,,"R. D. Hill, R. Driskill, C. Towers",Rhodophyta,G.R. South,,Alaska,,,Sub-sampled for phylogenetics of Chiharaea and Yamadaia by Patrick T. Martone Research Annotation University of British Columbia 2010 November 08,,silvae,Johansen,,,,,,,,,53,58.8,,-166,52,
A88959,,,,,,,Florideophyceae,s.n.,Yes,Japan,"Original accession # A7521, duplicate; new accession # A88959",1980 Apr 04,,1980 Apr 04,T. Masaki,,,,,,,Yamadaea,,,,,,,,,,,,,,,,UBC,,,"Awa-Kominato, Chiba Prefecture, near Tokyo",,,,Yamadaea melobesioides by T. Masaki 1980,,Rhodophyta,T. Masaki,,,,,Sub-sampled for phylogenetics of Chiharaea and Yamadaia by Patrick T. Martone Research Annotation University of British Columbia 2010 November 08,,melobesioides,Segawa,,,,,,,,,,,,,,
A68799,,,,,,,Florideophyceae,34821,Yes,Chile,,1983 Oct 19,,,,,,,,,,Arthrocardia,,,,,,,,,,,,,,,Rocky open coast,UBC,,,Pelancura,,,,,,Rhodophyta,Alex Frid,,,,Tetrasporic,Sub-sampled for phylogenetics of Chiharaea and Yamadaia by Patrick T. Martone Research Annotation University of British Columbia 2010 November 08,,silvae?,Johansen,,,,,,,,,,,,,,
A68798,,,,,,,Florideophyceae,34823,Yes,Chile,,1983 Oct 19,,,,,,,,,,Arthrocardia,,,,,,,,,,,,,,,Rocky open coast,UBC,,,Pelancura,,,,,,Rhodophyta,Alex Frid,,,,Tetrasporic,Sub-sampled for phylogenetics of Chiharaea and Yamadaia by Patrick T. Martone Research Annotation University of British Columbia 2010 November 08,,silvae?,Johansen,,,,,,,,,,,,,,
A49126,,,,,,,Florideophyceae,29618,Yes,United States,,1972 Jul 27,Tide -1.0,,"T. C. Decew September 1,1975",,,,,,,Arthrocardia,,,,,,,,,,,,,,,,UBC,,,"Arch cape, clatsop county",,,,,,Rhodophyta,J.W. Markham,,Oregon,,,Sub-sampled for phylogenetics of Chiharaea and Yamadaia by Patrick T. Martone Research Annotation University of British Columbia 2010 November 08,,silvae,Johansen ,,,,,,,,,,,,,,
A69802,,,,,,,Florideophyceae,75,,Japan,,1987 Apr 27,upper intertidal zone,,M. Miyata,,,,,,,Yamadaia,,,,,,,,,,,,,,,On rocks,UBC,,,"Shizuoka prefecture, shimoda-shi",,,,,,Rhodophyta,Jiro Tanaka,,Honshu,,,Sub-sampled for phylogenetics of Chiharaea and Yamadaia by Patrick T. Martone Research Annotation University of British Columbia 2010 November 08,,melobesioides,Segawa,,,,,,,,,,,,,,
A87101,,,,,,,Florideophyceae,SCL 12955,,United States,,2006 Jul 15,low intertidal ,,,,,,,,,Mazzaella,Crystal Kwong,606,2018,Unknown,57.06,57,3,19,-135.37,-135,22,22,Verbatim from Collector/Sheet,,bedrock,UBC,,,"Southeast Alaska, Sitka Sound, Japonski Island, John Brown's Beach",,,,Mazzaella sp. by Sandra C. Lindstrom 2006,,Rhodophyta,Patrick T. Martone,,Alaska,,spermatangial,,,sp.,,,,,,,,,,57,3,19,-135,22,22
A87474,,,,Yes,,,Bangiophyceae,PWG 1564,,United States,,2007 Dec 31,,2007 Dec 31,Paul W. Gabrielson,,This is the type locality of the species. DNA Extract P479 (S. Lindstrom),,,,,Porphyra,Crystal Kwong,90,2018,Unknown,36.624,36,37,25.8,-121.915,-121,54,53.6,Verbatim from Collector/Sheet,,epilithic on high intertidal boulder,UBC,,,"Moterey Co., Pacific Grove, foot of 15th Street",,,,Porphyra hiberna by Paul W. Gabrielson 2007,Patrick T. Martone,Rhodophyta,Paul W. Gabrielson,,California,,juvenile,,,hiberna,S.C.Lindstrom & K.M.Cole,,,,Possible type specimen; housed in type cabinet; 2017 Oct 10,,,,,36,37,25.8,-121,54,53.6
A87283,"Calliarthron cheilosporioides, species determination supported by rbcL gene Det. Paul W. Gabrielson 2007, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-03,Yes,United States,,2007 Mar 15,0 m,2007,Patrick T. Martone,,,,,,,Calliarthron,Crystal Kwong,9,2018,Unknown,36.6217,36,37,18.28,-121.9058,-121,54,20.86,Verbatim from Collector/Sheet,,"Epilithic, very low intertidal, ""Coralline Bench""",UBC,,,"Hopkins Marine Station, Pacific Grove, Coralline Bench",,,,Calliarthron cheilosporioides by Patrick T. Martone 2007,,Rhodophyta,Patrick T. Martone,2014OctDani,California,,,,,cheilosporioides,Manza,,,,,,,,,36,37,18.28,-121,54,20.86
